[2020-11-11 14:48:20] production.INFO: 2::Dinesh::43.248.71.197===>App\Http\Controllers\HomeController::dashboard Line No 267
  
[2020-11-11 14:48:27] production.INFO: 2::Dinesh::43.248.71.197===>App\Http\Controllers\HomeController::my_profile Line No 916
  
[2020-11-11 14:48:32] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::index Line No 37
  
[2020-11-11 14:48:57] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::searchBarcodePrintProduct Line No 298
  
[2020-11-11 14:49:05] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::BarcodePrintingSticker Line No 194
  
[2020-11-11 14:49:06] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::fetchTemplateData Line No 785
  
[2020-11-11 14:49:06] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::barcode_product_detail Line No 684
  
[2020-11-11 14:49:06] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::GenerateBarcode Line No 799
  
[2020-11-11 14:49:07] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::barcode_product_detail Line No 684
  
[2020-11-11 14:49:07] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::GenerateBarcode Line No 799
  
[2020-11-11 14:49:07] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::barcode_product_detail Line No 684
  
[2020-11-11 14:49:08] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::GenerateBarcode Line No 799
  
[2020-11-11 14:49:08] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::barcode_product_detail Line No 684
  
